image1,image2,ssim_score
cat_1104.png,cat_1307.png,0.549142
cat_1127.png,cat_1210.png,0.549110
cat_1016.png,cat_1279.png,0.549047
cat_1220.png,cat_1274.png,0.548900
cat_1098.png,cat_1177.png,0.548856
cat_108.png,cat_1081.png,0.548798
cat_1039.png,cat_1235.png,0.548759
cat_1199.png,cat_1279.png,0.548663
cat_1104.png,cat_1152.png,0.548635
cat_1039.png,cat_1213.png,0.548443
cat_1233.png,cat_1302.png,0.548269
cat_108.png,cat_1220.png,0.548163
cat_1167.png,cat_1265.png,0.548144
cat_1034.png,cat_1093.png,0.548117
cat_1105.png,cat_1220.png,0.548092
cat_1040.png,cat_1147.png,0.547980
cat_108.png,cat_1151.png,0.547975
cat_1020.png,cat_1302.png,0.547689
cat_1062.png,cat_117.png,0.547602
cat_1082.png,cat_1264.png,0.547346
cat_1167.png,cat_1264.png,0.547247
cat_1032.png,cat_1304.png,0.547232
cat_1151.png,cat_1282.png,0.547220
cat_1040.png,cat_1110.png,0.547182
cat_12.png,cat_1302.png,0.547141
cat_1123.png,cat_1249.png,0.546835
cat_103.png,cat_1098.png,0.546805
cat_121.png,cat_1279.png,0.546607
cat_1093.png,cat_1272.png,0.546600
cat_1093.png,cat_1213.png,0.546554
cat_1152.png,cat_1213.png,0.546514
cat_1033.png,cat_1167.png,0.546299
cat_121.png,cat_1302.png,0.546241
cat_1021.png,cat_1147.png,0.546214
cat_1220.png,cat_1307.png,0.546209
cat_1177.png,cat_119.png,0.546175
cat_1039.png,cat_1177.png,0.546157
cat_1005.png,cat_1040.png,0.545984
cat_1038.png,cat_1199.png,0.545897
cat_1098.png,cat_1190.png,0.545896
cat_1105.png,cat_1307.png,0.545853
cat_103.png,cat_1038.png,0.545636
cat_121.png,cat_1220.png,0.545528
cat_1127.png,cat_1169.png,0.545455
cat_1016.png,cat_1104.png,0.545316
cat_1039.png,cat_1133.png,0.545244
cat_1034.png,cat_125.png,0.545232
cat_1093.png,cat_1210.png,0.545216
cat_1091.png,cat_1177.png,0.545043
cat_1213.png,cat_1307.png,0.544918
cat_1038.png,cat_1213.png,0.544889
cat_1095.png,cat_1282.png,0.544842
cat_108.png,cat_1213.png,0.544599
cat_1050.png,cat_1177.png,0.544585
cat_103.png,cat_1182.png,0.544279
cat_1133.png,cat_1302.png,0.544111
cat_1152.png,cat_1304.png,0.544091
cat_109.png,cat_1210.png,0.544062
cat_1040.png,cat_1169.png,0.544025
cat_1040.png,cat_1081.png,0.543963
cat_1091.png,cat_1104.png,0.543939
cat_1105.png,cat_1279.png,0.543822
cat_1011.png,cat_1127.png,0.543819
cat_1040.png,cat_12.png,0.543803
cat_1045.png,cat_1105.png,0.543802
cat_1180.png,cat_1302.png,0.543626
cat_1190.png,cat_1271.png,0.543469
